measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Mpumalanga,Male,15-19 years,All causes,Number,1992,148.2420522188599,169.4734324459018,128.84954318051035
Deaths,Mpumalanga,Female,15-19 years,All causes,Number,1992,186.68819640247224,210.95371434860922,165.61086912934098
Deaths,Mpumalanga,Male,15-19 years,All causes,Rate,1992,107.12198904605545,122.464111244661,93.10866347690681
Deaths,Mpumalanga,Female,15-19 years,All causes,Rate,1992,128.14458404787794,144.8006703127558,113.67690270377435
Deaths,Mpumalanga,Male,20-24 years,All causes,Number,1992,300.45791316070745,341.58698899994437,262.62565686340497
Deaths,Mpumalanga,Female,20-24 years,All causes,Number,1992,350.90182087102477,411.2905573794445,291.8616809668866
Deaths,Mpumalanga,Male,20-24 years,All causes,Rate,1992,249.37089830279345,283.50677603854905,217.9712801718051
Deaths,Mpumalanga,Female,20-24 years,All causes,Rate,1992,261.93983121040327,307.01858118314595,217.86777640390306
Deaths,Mpumalanga,Male,25-29 years,All causes,Number,1992,612.0162332488698,682.4494666268505,548.5901794968001
Deaths,Mpumalanga,Female,25-29 years,All causes,Number,1992,519.4706317091188,620.8065676684413,423.92046531620315
Deaths,Mpumalanga,Male,25-29 years,All causes,Rate,1992,594.2579734636372,662.6475165146462,532.6722897515941
Deaths,Mpumalanga,Female,25-29 years,All causes,Rate,1992,441.0066607224641,527.0362069579679,359.8889665926228
Deaths,Mpumalanga,Male,30-34 years,All causes,Number,1992,803.7666618904195,900.16341946053,716.604646901507
Deaths,Mpumalanga,Female,30-34 years,All causes,Number,1992,556.453239252173,656.6269647942942,460.77820753293304
Deaths,Mpumalanga,Male,30-34 years,All causes,Rate,1992,895.9004874745422,1003.346971874517,798.7473018296328
Deaths,Mpumalanga,Female,30-34 years,All causes,Rate,1992,546.4286098725186,644.7976833768713,452.477185217119
Deaths,Mpumalanga,Male,35-39 years,All causes,Number,1992,737.7192150246987,845.0255761591179,644.4885987355341
Deaths,Mpumalanga,Female,35-39 years,All causes,Number,1992,452.72246396401937,533.0622703603239,375.9229292304928
Deaths,Mpumalanga,Male,35-39 years,All causes,Rate,1992,981.6882261913919,1124.4815670393375,857.6255794992132
Deaths,Mpumalanga,Female,35-39 years,All causes,Rate,1992,550.773441954039,648.5133051527229,457.3406051663894
Deaths,Mpumalanga,Male,40-44 years,All causes,Number,1992,578.3437309967702,672.6572081799466,492.6081889562128
Deaths,Mpumalanga,Female,40-44 years,All causes,Number,1992,341.8517231087676,400.9380312376522,285.76383363670175
Deaths,Mpumalanga,Male,40-44 years,All causes,Rate,1992,979.6140156193455,1139.364695290759,834.3928709639011
Deaths,Mpumalanga,Female,40-44 years,All causes,Rate,1992,565.8526076165726,663.655658673675,473.01271134557766
Deaths,Mpumalanga,Male,45-49 years,All causes,Number,1992,453.612447290442,536.3027987524642,377.0731572769718
Deaths,Mpumalanga,Female,45-49 years,All causes,Number,1992,272.5969842623484,319.791114635745,227.83570258979304
Deaths,Mpumalanga,Male,45-49 years,All causes,Rate,1992,1017.8365667197036,1203.3809977327735,846.0941715719965
Deaths,Mpumalanga,Female,45-49 years,All causes,Rate,1992,605.5482178467291,710.3854801435577,506.11529705085763
Deaths,Mpumalanga,Male,50-54 years,All causes,Number,1992,400.74730228235535,476.02778095739524,332.6957983309207
Deaths,Mpumalanga,Female,50-54 years,All causes,Number,1992,255.60752726483577,299.52059994253216,214.34102825806244
Deaths,Mpumalanga,Male,50-54 years,All causes,Rate,1992,1214.1010553197373,1442.1702352837856,1007.9327235730672
Deaths,Mpumalanga,Female,50-54 years,All causes,Rate,1992,706.3339953502334,827.6813453459376,592.3000643879018
