measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Eastern Cape,Male,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1990,0.1363913285659895,0.6324291397256501,0.005940123752068708
Prevalence,Eastern Cape,Female,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1990,2.0386188440905606,9.469893246401975,0.0884777038451226
Prevalence,Eastern Cape,Male,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1991,0.224901692867929,0.9419885922770631,0.015230612112394418
Prevalence,Eastern Cape,Female,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1991,3.3642609504465364,14.045969687339113,0.22502999201098944
Prevalence,Eastern Cape,Male,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1992,0.455625152977983,1.7637845635719904,0.03942568279284623
Prevalence,Eastern Cape,Female,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1992,6.684386461569607,25.89720415288133,0.5741262144750654
Prevalence,Eastern Cape,Male,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1993,0.80678018994403,2.9057789633105764,0.07947648266922104
Prevalence,Eastern Cape,Female,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1993,11.608334133616696,41.94226181786748,1.1399924214091985
Prevalence,Eastern Cape,Male,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1994,1.2514675593700895,4.544957206823271,0.12300768377634391
Prevalence,Eastern Cape,Female,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1994,17.71150801481421,64.32050902664145,1.7393225598752675
Prevalence,Eastern Cape,Male,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1995,1.7578441132584177,6.514538281142851,0.15830274050200485
Prevalence,Eastern Cape,Female,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1995,24.537139801934295,90.72930260641766,2.206762717701174
Prevalence,Eastern Cape,Male,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1996,2.555116580102844,8.985330239487398,0.26721443432369213
Prevalence,Eastern Cape,Female,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1996,35.301753997685054,124.34808268233797,3.696608951846067
Prevalence,Eastern Cape,Male,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1997,3.753305592356606,11.991329445927459,0.41595116574079316
Prevalence,Eastern Cape,Female,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1997,51.36189683593007,163.67417504853773,5.690230739209449
Prevalence,Eastern Cape,Male,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1998,5.125202063321967,16.333403850639346,0.5957581375923785
Prevalence,Eastern Cape,Female,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1998,69.40006295686992,222.499967936104,8.049686524813627
Prevalence,Eastern Cape,Male,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1999,6.428507453804717,20.792159255545926,0.7117135351937869
Prevalence,Eastern Cape,Female,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,1999,86.0038558002776,278.45299625225954,9.577925493721011
Prevalence,Eastern Cape,Male,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,2000,7.410191373999181,25.854993702359675,0.6973145575262604
Prevalence,Eastern Cape,Female,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,2000,97.65140812921841,341.7226257998447,9.20606554246643
Prevalence,Eastern Cape,Male,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,2001,8.155243310246382,27.846076773884757,0.8701928137893669
Prevalence,Eastern Cape,Female,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,2001,105.59058484561864,359.96223526314446,11.315663534838647
Prevalence,Eastern Cape,Male,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,2002,8.866875663317053,28.495197519478037,1.0232568219423808
Prevalence,Eastern Cape,Female,15-19 years,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,Number,2002,112.9342449081011,364.5732845110673,13.004098735654775
