measure,region_name,sex,age,cause,metric,year,val,upper,lower
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,1990,32.00890315,68.40632258,12.79229912
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,1990,451.8523963,814.3048801,211.7629023
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,1991,54.83867037,110.5761042,22.79408669
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,1991,766.6100747,1323.442797,377.3443727
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,1992,88.49656994,170.5993327,36.88566264
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,1992,1221.308155,2032.976221,648.0961104
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,1993,132.9950031,253.1538456,56.99342346
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,1993,1811.381044,2953.052604,1004.062307
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,1994,186.05092,344.5314993,82.86208667
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,1994,2491.798875,3966.558648,1438.621484
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,1995,241.8605168,450.4564406,113.3977564
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,1995,3166.786775,4825.545337,1943.074653
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,1996,290.577669,549.4810815,141.2897419
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,1996,3708.673374,5397.52513,2386.511548
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,1997,323.8389833,602.4055858,156.2833419
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,1997,4039.318582,5676.721344,2635.864415
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,1998,341.4836755,630.5229413,162.9313384
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,1998,4175.847942,5816.845322,2789.906438
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,1999,347.5466294,652.901689,165.9612685
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,1999,4151.134404,5687.196446,2773.391511
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2000,344.7912175,653.0480108,165.0660791
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2000,4012.723936,5467.225148,2699.988324
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2001,334.7317005,629.7901577,161.179799
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2001,3820.40444,5252.221405,2587.145581
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2002,321.5830583,605.753467,155.4191484
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2002,3618.957735,4940.639189,2464.387505
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2003,311.5805335,593.0011351,152.3616476
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2003,3452.059382,4681.759086,2365.367093
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2004,306.5646127,572.4985588,153.0326613
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2004,3328.852618,4521.065375,2308.35905
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2005,302.2909241,560.7532769,153.0288022
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2005,3221.851166,4368.133825,2225.504819
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2006,295.6840368,543.7856122,149.1806832
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2006,3122.264933,4250.008451,2165.218992
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2007,288.2653557,527.2084761,144.8123256
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2007,3035.28288,4130.857623,2111.4052
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2008,281.9004993,514.2120513,144.6086676
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2008,2954.89532,4027.668843,2062.043902
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2009,273.5601114,495.7322919,140.9158801
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2009,2852.237461,3896.399771,2017.558739
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2010,259.6603201,466.7458191,135.3001058
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2010,2706.616464,3678.001517,1882.044094
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2011,241.0352125,435.5213166,126.2312392
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2011,2521.531419,3414.421981,1740.60524
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2012,222.2712877,409.394685,114.424872
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2012,2327.801754,3213.106464,1601.590771
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2013,205.1343095,379.5751783,106.1619883
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2013,2139.374595,3010.979889,1459.807093
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2014,189.907842,360.7829751,97.73318984
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2014,1968.550456,2808.980155,1319.341905
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2015,178.1500862,344.9803175,89.82678671
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2015,1841.503755,2666.529292,1226.554472
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2016,168.9352367,324.5878306,83.17142758
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2016,1750.254955,2586.760007,1131.816945
Incidence,Free State,Male,15-19 years,HIV/AIDS,Number,2017,156.3435072,296.9473836,73.79710488
Incidence,Free State,Female,15-19 years,HIV/AIDS,Number,2017,1632.313306,2473.140928,1012.507389
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,1990,110.7862951,209.1903689,46.52902827
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,1990,538.1450201,963.3645512,246.3171742
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,1991,188.463677,350.0153018,79.37342819
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,1991,914.6311608,1558.868301,439.0645194
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,1992,302.812527,556.5430937,137.4414731
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,1992,1462.013589,2404.347443,749.4426265
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,1993,453.9339007,818.9675152,209.4519099
Incidence,Free State,Female,20-24 years,HIV/AIDS,Number,1993,2167.012075,3453.387364,1145.46239
Incidence,Free State,Male,20-24 years,HIV/AIDS,Number,1994,630.9109327,1125.12434,307.2909291
