measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,1990,0.0005081562344912134,0.0010305273513306562,0.00023065042275090855
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,1990,0.0072313452811566216,0.013501840888464643,0.003497361301829291
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,1991,0.0007767089236285784,0.0015502317278917564,0.0003345627357673005
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,1991,0.011217250279877116,0.02034615092134908,0.005344323497645978
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,1992,0.0011451741129272356,0.0022742382884395358,0.00048605107359853643
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,1992,0.016660385641777468,0.029571610312514367,0.00799134451838262
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,1993,0.0016148950237958608,0.003200614775770468,0.0006755317422517569
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,1993,0.023650363156800077,0.04052455424309664,0.011352466810651706
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,1994,0.0021746973305449124,0.00414519217131758,0.0009241305043781924
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,1994,0.03208311410635177,0.05437386476611125,0.01603901229631717
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,1995,0.0028080598237308686,0.0054315962792811905,0.0011763001916755918
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,1995,0.04160880715353255,0.0689689424081723,0.0216182172717497
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,1996,0.003468928418988701,0.006600682919725398,0.0014731325750473494
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,1996,0.05139306444053551,0.08101001904861604,0.028083758652017295
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,1997,0.0040739601602854305,0.007764578328588648,0.0017613949282034253
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,1997,0.06026242383598796,0.09080116022454138,0.035242934780721186
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,1998,0.004551244604204747,0.00868523813677463,0.001966095333079352
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,1998,0.06729182001898389,0.10075336627777924,0.040746083695024055
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,1999,0.004886041327158872,0.009171743767553737,0.0021153713725228867
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,1999,0.0721891780207065,0.10696564441204645,0.045527393468239884
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2000,0.005083137289035756,0.009547563425422389,0.0022226095000356418
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2000,0.07466487881883065,0.11014330281927939,0.04703635546303829
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2001,0.00512773244680873,0.009475203508994464,0.002204277670945809
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2001,0.07459709123320762,0.10678318924882363,0.047427351329125685
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2002,0.00505081158418137,0.009240518132462806,0.0021991686777653842
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2002,0.0726596394138771,0.1029439404728892,0.04716764162082084
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2003,0.0049602783433708025,0.009060166919677788,0.0021996940552126724
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2003,0.07024734299769039,0.09874139883953663,0.04592710553687429
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2004,0.004934810229628373,0.008983309317170797,0.0022465565835506976
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2004,0.06812337068240559,0.09518510962142365,0.045319086788056996
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2005,0.004981278163825093,0.009015563760739857,0.002318107075606644
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2005,0.06612526255709651,0.09193558940311887,0.044709823211678046
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2006,0.0050851567647674616,0.008973959553754343,0.002479232701989656
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2006,0.0640012336485142,0.08902719709782675,0.04359869100830706
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2007,0.0052680749732528735,0.009149158235616205,0.0027533691763927007
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2007,0.06206067880166252,0.08604359204735493,0.042372036024465015
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2008,0.005603978955834363,0.00952316681303545,0.003040480107716706
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2008,0.06094089529806017,0.0841844366531035,0.0415686166939013
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2009,0.006130831681476022,0.010188038539746563,0.00347748850632343
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2009,0.06057051173487457,0.0838027561985192,0.04172839846255727
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2010,0.006958472560039561,0.011054548788499104,0.003984448588785044
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2010,0.05964330038141036,0.08256713421602029,0.04114839883696687
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2011,0.008273000922961363,0.012397528228861969,0.004710588651187312
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2011,0.058043217149799556,0.08065029181609445,0.04025569600839054
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2012,0.009678830075910203,0.013815699247275798,0.006301166438965878
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2012,0.05590891933276539,0.07883573142021064,0.03879845232860391
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2013,0.011273988560583408,0.015480146677532693,0.00774650860667369
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2013,0.056571670690013676,0.08061912071258562,0.03727477709733788
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2014,0.012978130654659229,0.017193538788292172,0.009319724704873836
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2014,0.05692300251317836,0.08013815999716889,0.03915228524565983
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2015,0.014683566780773476,0.019187596288800155,0.010703088224489815
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2015,0.05665109047271768,0.07978829030027124,0.03953928846582481
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2016,0.016345173758649557,0.021077598483158738,0.01227884601824386
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2016,0.05636264146065304,0.07962593588618735,0.03923256542520942
Prevalence,North-West,Male,15-19 years,HIV/AIDS,Percent,2017,0.017951873618649167,0.0226267700322404,0.013867524772079653
Prevalence,North-West,Female,15-19 years,HIV/AIDS,Percent,2017,0.05591987258855807,0.07873454975996377,0.038859466443785136
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,1990,0.0003711975162190963,0.0007275364334189515,0.00019933264626915026
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,1990,0.005333295170162012,0.008765341720899772,0.0031468009278635147
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,1991,0.0006076697529419075,0.0012110208856484404,0.00031078212406713195
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,1991,0.008792385061438911,0.014298999141625903,0.005101744347624504
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,1992,0.0009674027878516352,0.0018684848280617556,0.00047208919319735544
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,1992,0.013989322083415566,0.02255266237168665,0.008071377305598995
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,1993,0.001476603811482851,0.002923311103886668,0.0006784225641061581
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,1993,0.02134529771118649,0.03410729019706751,0.012406987040586527
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,1994,0.002138538342547273,0.004255438353805432,0.00094237715052376
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,1994,0.030965221567512094,0.049507801159546415,0.018359199051633072
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,1995,0.002927571960424857,0.005697981536039057,0.0012842435287506264
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,1995,0.04237519268928019,0.06678142427631278,0.025451733493990943
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,1996,0.0037588390837284963,0.007553328086304784,0.0016484847560138069
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,1996,0.05423217615398072,0.08275819421340817,0.03355493778127564
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,1997,0.004499986481004885,0.009246826766274717,0.0019379262935873642
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,1997,0.06467719965288796,0.09527727133518492,0.041193610151152485
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,1998,0.005045473650863572,0.01035362415494381,0.002145757011077294
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,1998,0.07233736731686559,0.10382865726467515,0.04725454352655445
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,1999,0.0053837774560352,0.010818713760145296,0.0021964260743144925
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,1999,0.07686049455891537,0.10723932793358333,0.05104636879689821
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,2000,0.0055456636244180625,0.01130257091771243,0.0021927099832552
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,2000,0.0782215754937537,0.10750773372494174,0.05248015277069212
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,2001,0.005531496510144496,0.011411120352460778,0.0021542411999174857
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,2001,0.07680012198013554,0.10462730245266015,0.05194026300802368
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,2002,0.005383761005833342,0.0109524649132874,0.002107995373920611
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,2002,0.07366845404341062,0.10047389362023545,0.04995200375097655
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,2003,0.005226663232294869,0.010600044616370962,0.0020665697756368805
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,2003,0.07036716646922002,0.09623890303511028,0.048089330344902474
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,2004,0.005147139274667935,0.010332786046403362,0.0020961193814056367
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,2004,0.06766780814690879,0.09201226764106603,0.046695754510248606
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,2005,0.005154752292933222,0.010199322284265868,0.0022171497236499367
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,2005,0.06536217700865601,0.08799850075965095,0.04512807941607569
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,2006,0.005233669449701038,0.010273595177450594,0.0023747535298958987
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,2006,0.06312410815778184,0.08550009625435905,0.0441185563030729
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,2007,0.005408587090351693,0.01024690833390325,0.0025873433589369246
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,2007,0.061175736710214305,0.08269238376393381,0.043042803084526064
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,2008,0.005754858288587284,0.010466792983128564,0.002930068929318309
Prevalence,Free State,Female,15-19 years,HIV/AIDS,Percent,2008,0.06012904242557589,0.08201165691830414,0.042142171449223234
Prevalence,Free State,Male,15-19 years,HIV/AIDS,Percent,2009,0.006312550592125225,0.01139375753742847,0.0034404828476509034
