"year","sex","expected_total_pop","region_name"
1990,"Female",136879.739813594,"Mpumalanga"
1990,"Male",130418.594860147,"Mpumalanga"
1991,"Female",141290.849889465,"Mpumalanga"
1991,"Male",134328.919585211,"Mpumalanga"
1992,"Female",145685.59240297,"Mpumalanga"
1992,"Male",138386.202066436,"Mpumalanga"
1993,"Female",150129.825770566,"Mpumalanga"
1993,"Male",142562.868666565,"Mpumalanga"
1994,"Female",154626.225636157,"Mpumalanga"
1994,"Male",146827.042449832,"Mpumalanga"
1995,"Female",159159.81890146,"Mpumalanga"
1995,"Male",151173.6834329,"Mpumalanga"
1996,"Female",163673.826340301,"Mpumalanga"
1996,"Male",155600.93718405,"Mpumalanga"
1997,"Female",168046.962348369,"Mpumalanga"
1997,"Male",160103.525806287,"Mpumalanga"
1998,"Female",172435.628319237,"Mpumalanga"
1998,"Male",164847.286407399,"Mpumalanga"
1999,"Female",176953.960167118,"Mpumalanga"
1999,"Male",169933.291591969,"Mpumalanga"
2000,"Female",181675.857534501,"Mpumalanga"
2000,"Male",175419.847647579,"Mpumalanga"
2001,"Female",186690.143143957,"Mpumalanga"
2001,"Male",181346.681597118,"Mpumalanga"
2002,"Female",192045.537683845,"Mpumalanga"
2002,"Male",187662.865912046,"Mpumalanga"
2003,"Female",197207.70361888,"Mpumalanga"
2003,"Male",193819.060609466,"Mpumalanga"
2004,"Female",201825.976403112,"Mpumalanga"
2004,"Male",199433.329442288,"Mpumalanga"
2005,"Female",205754.079955164,"Mpumalanga"
2005,"Male",204291.755974231,"Mpumalanga"
2006,"Female",208834.35254095,"Mpumalanga"
2006,"Male",208101.207157057,"Mpumalanga"
2007,"Female",210861.815716813,"Mpumalanga"
2007,"Male",210496.701345516,"Mpumalanga"
2008,"Female",212061.918030442,"Mpumalanga"
2008,"Male",211768.393455972,"Mpumalanga"
2009,"Female",212519.199228812,"Mpumalanga"
2009,"Male",212163.262589583,"Mpumalanga"
2010,"Female",212161.340269882,"Mpumalanga"
2010,"Male",211833.580251387,"Mpumalanga"
2011,"Female",210973.919890092,"Mpumalanga"
2011,"Male",211038.606505638,"Mpumalanga"
2012,"Female",209091.438421646,"Mpumalanga"
2012,"Male",210185.104465458,"Mpumalanga"
2013,"Female",206863.988161104,"Mpumalanga"
2013,"Male",209326.925643953,"Mpumalanga"
2014,"Female",204623.297426369,"Mpumalanga"
2014,"Male",208521.669912966,"Mpumalanga"
2015,"Female",202746.543667925,"Mpumalanga"
2015,"Male",207907.908902469,"Mpumalanga"
2016,"Female",201576.140554326,"Mpumalanga"
2016,"Male",207587.208874086,"Mpumalanga"
2017,"Female",201476.129973962,"Mpumalanga"
2017,"Male",207712.589438697,"Mpumalanga"
2018,"Female",202335.485664238,"Mpumalanga"
2018,"Male",208363.935641822,"Mpumalanga"
2019,"Female",204001.192865566,"Mpumalanga"
2019,"Male",209572.293059,"Mpumalanga"
1990,"Female",175453.170038616,"Western Cape"
1990,"Male",179614.244434214,"Western Cape"
1991,"Female",177543.625825812,"Western Cape"
1991,"Male",181279.020525416,"Western Cape"
1992,"Female",179615.581529724,"Western Cape"
1992,"Male",182785.576452773,"Western Cape"
1993,"Female",181931.156406403,"Western Cape"
