measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,1990,293.9164133,427.8936888,179.9272834
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,1991,272.7709367,406.4468079,159.860429
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,1992,253.9065707,391.2833502,142.0180147
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,1993,237.5427764,383.2671447,125.6447519
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,1994,225.9834461,373.400183,111.4692355
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,1995,221.2944511,373.224113,98.82946902
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,1996,226.485424,384.0185303,95.63653905
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,1997,229.5339286,398.6537988,90.55527821
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,1998,234.420779,422.893352,86.55377784
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,1999,241.6606287,453.1068568,85.3152022
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,2000,250.4309943,492.3529928,84.46911187
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,2001,256.4506663,517.8369404,82.22993048
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,2002,269.4417996,561.8709618,87.50758019
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,2003,283.393564,609.3151479,90.06377526
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,2004,294.7361491,669.5417323,90.48501737
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,2005,301.1976622,698.6048081,88.92902393
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,2006,302.0323053,689.0758952,91.72482195
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,2007,295.8935231,673.7182135,91.00906305
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,2008,284.9409499,641.6424878,90.85269156
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,2009,271.5672577,602.4563054,89.97610127
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,2010,258.3895321,570.3316445,88.04495852
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,2011,242.140446,535.8867685,85.89948112
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,2012,220.2439347,481.8109504,80.26906332
Incidence,Free State,Both,50-54 years,Drug-susceptible tuberculosis,Number,2013,196.1859794,412.6828202,73.58707328
