"sim_id","general_sim_id","region_id_1_sim_id","region_id_2_sim_id","region_id_3_sim_id","region_id_4_sim_id","region_id_5_sim_id","region_id_6_sim_id","region_id_7_sim_id","region_id_8_sim_id","region_id_9_sim_id","total_disease_mort_SA_2005","total_disease_mort_SA_2017"
1652264,357,14,25,18,3,5,3,34,3,17,257543.536594051,134971.263868774
1652265,357,14,25,18,3,5,3,34,3,21,257960.67567902,135469.216367232
1652266,357,14,25,18,3,5,3,34,5,17,267252.514509666,139763.583039801
1652267,357,14,25,18,3,5,3,34,5,21,267669.653594635,140261.535538259
1652268,357,14,25,18,3,5,3,34,14,17,264988.828427348,141821.252632095
1652269,357,14,25,18,3,5,3,34,14,21,265405.967512317,142319.205130554
1652270,357,14,25,18,3,5,3,34,21,17,261136.977142742,137477.678134003
1652271,357,14,25,18,3,5,3,34,21,21,261554.116227711,137975.630632461
1652272,357,14,25,18,3,5,3,34,35,17,266810.86434102,142733.760111562
1652273,357,14,25,18,3,5,3,34,35,21,267228.003425989,143231.71261002
1652274,357,14,25,18,3,5,5,34,3,17,268993.813575908,139842.179053536
1652275,357,14,25,18,3,5,5,34,3,21,269410.952660877,140340.131551994
1652276,357,14,25,18,3,5,5,34,5,17,278702.791491523,144634.498224563
1652277,357,14,25,18,3,5,5,34,5,21,279119.930576492,145132.450723022
1652278,357,14,25,18,3,5,5,34,14,17,276439.105409205,146692.167816858
1652279,357,14,25,18,3,5,5,34,14,21,276856.244494174,147190.120315316
1652280,357,14,25,18,3,5,5,34,21,17,272587.2541246,142348.593318765
1652281,357,14,25,18,3,5,5,34,21,21,273004.393209569,142846.545817224
1652282,357,14,25,18,3,5,5,34,35,17,278261.141322878,147604.675296324
1652283,357,14,25,18,3,5,5,34,35,21,278678.280407847,148102.627794783
1652284,357,14,25,18,3,5,9,34,3,17,269143.795843081,144575.679378378
1652285,357,14,25,18,3,5,9,34,3,21,269560.93492805,145073.631876837
1652286,357,14,25,18,3,5,9,34,5,17,278852.773758695,149367.998549406
1652287,357,14,25,18,3,5,9,34,5,21,279269.912843664,149865.951047864
1652288,357,14,25,18,3,5,9,34,14,17,276589.087676377,151425.6681417
1652289,357,14,25,18,3,5,9,34,14,21,277006.226761347,151923.620640158
1652290,357,14,25,18,3,5,9,34,21,17,272737.236391772,147082.093643608
1652291,357,14,25,18,3,5,9,34,21,21,273154.375476741,147580.046142066
1652292,357,14,25,18,3,5,9,34,35,17,278411.12359005,152338.175621167
1652293,357,14,25,18,3,5,9,34,35,21,278828.262675019,152836.128119625
1652294,357,14,25,18,3,5,10,34,3,17,257661.409781265,137984.426310851
1652295,357,14,25,18,3,5,10,34,3,21,258078.548866235,138482.378809309
1652296,357,14,25,18,3,5,10,34,5,17,267370.38769688,142776.745481879
1652297,357,14,25,18,3,5,10,34,5,21,267787.526781849,143274.697980337
1652298,357,14,25,18,3,5,10,34,14,17,265106.701614562,144834.415074173
1652299,357,14,25,18,3,5,10,34,14,21,265523.840699532,145332.367572631
1652300,357,14,25,18,3,5,10,34,21,17,261254.850329957,140490.840576081
1652301,357,14,25,18,3,5,10,34,21,21,261671.989414926,140988.793074539
1652302,357,14,25,18,3,5,10,34,35,17,266928.737528235,145746.92255364
1652303,357,14,25,18,3,5,10,34,35,21,267345.876613204,146244.875052098
1652304,357,14,25,18,3,5,26,34,3,17,265999.825823835,142042.74951908
1652305,357,14,25,18,3,5,26,34,3,21,266416.964908804,142540.702017538
1652306,357,14,25,18,3,5,26,34,5,17,275708.80373945,146835.068690107
1652307,357,14,25,18,3,5,26,34,5,21,276125.942824419,147333.021188565
1652308,357,14,25,18,3,5,26,34,14,17,273445.117657132,148892.738282401
1652309,357,14,25,18,3,5,26,34,14,21,273862.256742101,149390.690780859
1652310,357,14,25,18,3,5,26,34,21,17,269593.266372527,144549.163784309
1652311,357,14,25,18,3,5,26,34,21,21,270010.405457496,145047.116282767
1652312,357,14,25,18,3,5,26,34,35,17,275267.153570805,149805.245761868
1652313,357,14,25,18,3,5,26,34,35,21,275684.292655774,150303.198260326
1652314,357,14,25,18,3,17,3,34,3,17,251254.089285509,132367.558323104
1652315,357,14,25,18,3,17,3,34,3,21,251671.228370479,132865.510821562
1652316,357,14,25,18,3,17,3,34,5,17,260963.067201124,137159.877494131
1652317,357,14,25,18,3,17,3,34,5,21,261380.206286093,137657.82999259
1652318,357,14,25,18,3,17,3,34,14,17,258699.381118806,139217.547086426
1652319,357,14,25,18,3,17,3,34,14,21,259116.520203776,139715.499584884
1652320,357,14,25,18,3,17,3,34,21,17,254847.529834201,134873.972588333
1652321,357,14,25,18,3,17,3,34,21,21,255264.66891917,135371.925086792
1652322,357,14,25,18,3,17,3,34,35,17,260521.417032479,140130.054565892
1652323,357,14,25,18,3,17,3,34,35,21,260938.556117448,140628.007064351
1652324,357,14,25,18,3,17,5,34,3,17,262704.366267367,137238.473507866
1652325,357,14,25,18,3,17,5,34,3,21,263121.505352336,137736.426006324
1652326,357,14,25,18,3,17,5,34,5,17,272413.344182982,142030.792678894
1652327,357,14,25,18,3,17,5,34,5,21,272830.483267951,142528.745177352
1652328,357,14,25,18,3,17,5,34,14,17,270149.658100664,144088.462271188
1652329,357,14,25,18,3,17,5,34,14,21,270566.797185633,144586.414769646
1652330,357,14,25,18,3,17,5,34,21,17,266297.806816058,139744.887773096
1652331,357,14,25,18,3,17,5,34,21,21,266714.945901028,140242.840271554
1652332,357,14,25,18,3,17,5,34,35,17,271971.694014337,145000.969750655
1652333,357,14,25,18,3,17,5,34,35,21,272388.833099306,145498.922249113
1652334,357,14,25,18,3,17,9,34,3,17,262854.348534539,141971.973832709
1652335,357,14,25,18,3,17,9,34,3,21,263271.487619508,142469.926331167
1652336,357,14,25,18,3,17,9,34,5,17,272563.326450154,146764.293003736
1652337,357,14,25,18,3,17,9,34,5,21,272980.465535123,147262.245502194
1652338,357,14,25,18,3,17,9,34,14,17,270299.640367836,148821.96259603
1652339,357,14,25,18,3,17,9,34,14,21,270716.779452805,149319.915094489
1652340,357,14,25,18,3,17,9,34,21,17,266447.789083231,144478.388097938
1652341,357,14,25,18,3,17,9,34,21,21,266864.9281682,144976.340596396
1652342,357,14,25,18,3,17,9,34,35,17,272121.676281509,149734.470075497
1652343,357,14,25,18,3,17,9,34,35,21,272538.815366478,150232.422573955
1652344,357,14,25,18,3,17,10,34,3,17,251371.962472724,135380.720765182
1652345,357,14,25,18,3,17,10,34,3,21,251789.101557693,135878.67326364
1652346,357,14,25,18,3,17,10,34,5,17,261080.940388339,140173.039936209
1652347,357,14,25,18,3,17,10,34,5,21,261498.079473308,140670.992434667
1652348,357,14,25,18,3,17,10,34,14,17,258817.254306021,142230.709528503
1652349,357,14,25,18,3,17,10,34,14,21,259234.39339099,142728.662026962
1652350,357,14,25,18,3,17,10,34,21,17,254965.403021416,137887.135030411
1652351,357,14,25,18,3,17,10,34,21,21,255382.542106385,138385.087528869
1652352,357,14,25,18,3,17,10,34,35,17,260639.290219694,143143.21700797
1652353,357,14,25,18,3,17,10,34,35,21,261056.429304663,143641.169506428
1652354,357,14,25,18,3,17,26,34,3,17,259710.378515294,139439.04397341
1652355,357,14,25,18,3,17,26,34,3,21,260127.517600263,139936.996471868
1652356,357,14,25,18,3,17,26,34,5,17,269419.356430909,144231.363144437
1652357,357,14,25,18,3,17,26,34,5,21,269836.495515878,144729.315642895
1652358,357,14,25,18,3,17,26,34,14,17,267155.670348591,146289.032736732
1652359,357,14,25,18,3,17,26,34,14,21,267572.80943356,146786.98523519
1652360,357,14,25,18,3,17,26,34,21,17,263303.819063985,141945.458238639
1652361,357,14,25,18,3,17,26,34,21,21,263720.958148954,142443.410737097
1652362,357,14,25,18,3,17,26,34,35,17,268977.706262263,147201.540216198
1652363,357,14,25,18,3,17,26,34,35,21,269394.845347232,147699.492714656
1652364,357,14,25,18,3,21,3,34,3,17,251836.40339246,132781.899586052
1652365,357,14,25,18,3,21,3,34,3,21,252253.542477429,133279.85208451
1652366,357,14,25,18,3,21,3,34,5,17,261545.381308075,137574.21875708
1652367,357,14,25,18,3,21,3,34,5,21,261962.520393044,138072.171255538
1652368,357,14,25,18,3,21,3,34,14,17,259281.695225757,139631.888349374
1652369,357,14,25,18,3,21,3,34,14,21,259698.834310726,140129.840847832
1652370,357,14,25,18,3,21,3,34,21,17,255429.843941152,135288.313851282
1652371,357,14,25,18,3,21,3,34,21,21,255846.983026121,135786.26634974
1652372,357,14,25,18,3,21,3,34,35,17,261103.73113943,140544.395828841
1652373,357,14,25,18,3,21,3,34,35,21,261520.870224399,141042.348327299
1652374,357,14,25,18,3,21,5,34,3,17,263286.680374318,137652.814770814
1652375,357,14,25,18,3,21,5,34,3,21,263703.819459287,138150.767269273
1652376,357,14,25,18,3,21,5,34,5,17,272995.658289933,142445.133941842
1652377,357,14,25,18,3,21,5,34,5,21,273412.797374902,142943.0864403
1652378,357,14,25,18,3,21,5,34,14,17,270731.972207615,144502.803534136
1652379,357,14,25,18,3,21,5,34,14,21,271149.111292584,145000.756032594
1652380,357,14,25,18,3,21,5,34,21,17,266880.120923009,140159.229036044
1652381,357,14,25,18,3,21,5,34,21,21,267297.260007978,140657.181534502
1652382,357,14,25,18,3,21,5,34,35,17,272554.008121288,145415.311013603
1652383,357,14,25,18,3,21,5,34,35,21,272971.147206257,145913.263512061
1652384,357,14,25,18,3,21,9,34,3,17,263436.66264149,142386.315095657
1652385,357,14,25,18,3,21,9,34,3,21,263853.801726459,142884.267594115
1652386,357,14,25,18,3,21,9,34,5,17,273145.640557105,147178.634266684
1652387,357,14,25,18,3,21,9,34,5,21,273562.779642074,147676.586765143
1652388,357,14,25,18,3,21,9,34,14,17,270881.954474787,149236.303858979
1652389,357,14,25,18,3,21,9,34,14,21,271299.093559756,149734.256357437
1652390,357,14,25,18,3,21,9,34,21,17,267030.103190181,144892.729360886
1652391,357,14,25,18,3,21,9,34,21,21,267447.242275151,145390.681859344
1652392,357,14,25,18,3,21,9,34,35,17,272703.99038846,150148.811338445
1652393,357,14,25,18,3,21,9,34,35,21,273121.129473429,150646.763836903
1652394,357,14,25,18,3,21,10,34,3,17,251954.276579675,135795.06202813
1652395,357,14,25,18,3,21,10,34,3,21,252371.415664644,136293.014526588
1652396,357,14,25,18,3,21,10,34,5,17,261663.25449529,140587.381199157
1652397,357,14,25,18,3,21,10,34,5,21,262080.393580259,141085.333697616
1652398,357,14,25,18,3,21,10,34,14,17,259399.568412972,142645.050791452
1652399,357,14,25,18,3,21,10,34,14,21,259816.707497941,143143.00328991
1652400,357,14,25,18,3,21,10,34,21,17,255547.717128366,138301.476293359
1652401,357,14,25,18,3,21,10,34,21,21,255964.856213336,138799.428791817
1652402,357,14,25,18,3,21,10,34,35,17,261221.604326645,143557.558270918
1652403,357,14,25,18,3,21,10,34,35,21,261638.743411614,144055.510769377
1652404,357,14,25,18,3,21,26,34,3,17,260292.692622245,139853.385236358
1652405,357,14,25,18,3,21,26,34,3,21,260709.831707214,140351.337734816
1652406,357,14,25,18,3,21,26,34,5,17,270001.67053786,144645.704407385
1652407,357,14,25,18,3,21,26,34,5,21,270418.809622829,145143.656905844
1652408,357,14,25,18,3,21,26,34,14,17,267737.984455542,146703.37399968
1652409,357,14,25,18,3,21,26,34,14,21,268155.123540511,147201.326498138
1652410,357,14,25,18,3,21,26,34,21,17,263886.133170936,142359.799501587
1652411,357,14,25,18,3,21,26,34,21,21,264303.272255905,142857.752000046
1652412,357,14,25,18,3,21,26,34,35,17,269560.020369214,147615.881479146
1652413,357,14,25,18,3,21,26,34,35,21,269977.159454183,148113.833977605
1652414,357,14,25,18,3,35,3,34,3,17,256834.606931222,137353.918853446
1652415,357,14,25,18,3,35,3,34,3,21,257251.746016191,137851.871351904
1652416,357,14,25,18,3,35,3,34,5,17,266543.584846837,142146.238024473
1652417,357,14,25,18,3,35,3,34,5,21,266960.723931806,142644.190522931
1652418,357,14,25,18,3,35,3,34,14,17,264279.898764519,144203.907616767
1652419,357,14,25,18,3,35,3,34,14,21,264697.037849488,144701.860115226
1652420,357,14,25,18,3,35,3,34,21,17,260428.047479914,139860.333118675
1652421,357,14,25,18,3,35,3,34,21,21,260845.186564883,140358.285617133
1652422,357,14,25,18,3,35,3,34,35,17,266101.934678192,145116.415096234
1652423,357,14,25,18,3,35,3,34,35,21,266519.073763161,145614.367594692
1652424,357,14,25,18,3,35,5,34,3,17,268284.88391308,142224.834038208
1652425,357,14,25,18,3,35,5,34,3,21,268702.022998049,142722.786536666
1652426,357,14,25,18,3,35,5,34,5,17,277993.861828695,147017.153209235
1652427,357,14,25,18,3,35,5,34,5,21,278411.000913664,147515.105707694
1652428,357,14,25,18,3,35,5,34,14,17,275730.175746377,149074.82280153
1652429,357,14,25,18,3,35,5,34,14,21,276147.314831346,149572.775299988
1652430,357,14,25,18,3,35,5,34,21,17,271878.324461771,144731.248303437
1652431,357,14,25,18,3,35,5,34,21,21,272295.46354674,145229.200801895
1652432,357,14,25,18,3,35,5,34,35,17,277552.211660049,149987.330280996
1652433,357,14,25,18,3,35,5,34,35,21,277969.350745018,150485.282779455
1652434,357,14,25,18,3,35,9,34,3,17,268434.866180252,146958.33436305
1652435,357,14,25,18,3,35,9,34,3,21,268852.005265221,147456.286861508
1652436,357,14,25,18,3,35,9,34,5,17,278143.844095867,151750.653534078
1652437,357,14,25,18,3,35,9,34,5,21,278560.983180836,152248.606032536
1652438,357,14,25,18,3,35,9,34,14,17,275880.158013549,153808.323126372
1652439,357,14,25,18,3,35,9,34,14,21,276297.297098518,154306.27562483
1652440,357,14,25,18,3,35,9,34,21,17,272028.306728943,149464.74862828
1652441,357,14,25,18,3,35,9,34,21,21,272445.445813912,149962.701126738
1652442,357,14,25,18,3,35,9,34,35,17,277702.193927221,154720.830605839
1652443,357,14,25,18,3,35,9,34,35,21,278119.333012191,155218.783104297
1652444,357,14,25,18,3,35,10,34,3,17,256952.480118437,140367.081295523
1652445,357,14,25,18,3,35,10,34,3,21,257369.619203406,140865.033793981
1652446,357,14,25,18,3,35,10,34,5,17,266661.458034052,145159.400466551
1652447,357,14,25,18,3,35,10,34,5,21,267078.597119021,145657.352965009
1652448,357,14,25,18,3,35,10,34,14,17,264397.771951734,147217.070058845
1652449,357,14,25,18,3,35,10,34,14,21,264814.911036703,147715.022557303
1652450,357,14,25,18,3,35,10,34,21,17,260545.920667128,142873.495560753
1652451,357,14,25,18,3,35,10,34,21,21,260963.059752097,143371.448059211
1652452,357,14,25,18,3,35,10,34,35,17,266219.807865406,148129.577538312
1652453,357,14,25,18,3,35,10,34,35,21,266636.946950376,148627.53003677
1652454,357,14,25,18,3,35,26,34,3,17,265290.896161007,144425.404503751
1652455,357,14,25,18,3,35,26,34,3,21,265708.035245976,144923.35700221
1652456,357,14,25,18,3,35,26,34,5,17,274999.874076621,149217.723674779
1652457,357,14,25,18,3,35,26,34,5,21,275417.013161591,149715.676173237
1652458,357,14,25,18,3,35,26,34,14,17,272736.187994304,151275.393267073
1652459,357,14,25,18,3,35,26,34,14,21,273153.327079273,151773.345765531
1652460,357,14,25,18,3,35,26,34,21,17,268884.336709698,146931.818768981
1652461,357,14,25,18,3,35,26,34,21,21,269301.475794667,147429.771267439
1652462,357,14,25,18,3,35,26,34,35,17,274558.223907976,152187.90074654
1652463,357,14,25,18,3,35,26,34,35,21,274975.362992945,152685.853244998
1652464,357,14,25,18,3,39,3,34,3,17,251889.527641807,134220.03159418
1652465,357,14,25,18,3,39,3,34,3,21,252306.666726776,134717.984092638
1652466,357,14,25,18,3,39,3,34,5,17,261598.505557422,139012.350765207
1652467,357,14,25,18,3,39,3,34,5,21,262015.644642391,139510.303263665
1652468,357,14,25,18,3,39,3,34,14,17,259334.819475104,141070.020357502
1652469,357,14,25,18,3,39,3,34,14,21,259751.958560073,141567.97285596
1652470,357,14,25,18,3,39,3,34,21,17,255482.968190499,136726.445859409
1652471,357,14,25,18,3,39,3,34,21,21,255900.107275468,137224.398357867
