"general_sim_id","regional_sim_id","region_id"
275,6,1
344,6,1
359,6,1
401,6,1
457,6,1
461,6,1
481,6,1
33,8,1
150,8,1
156,8,1
263,8,1
390,8,1
461,8,1
359,11,1
112,12,1
481,12,1
112,13,1
177,13,1
275,13,1
279,13,1
280,13,1
344,13,1
383,13,1
401,13,1
457,13,1
481,13,1
33,14,1
263,14,1
357,14,1
461,14,1
18,17,1
33,17,1
50,17,1
53,17,1
150,17,1
156,17,1
173,17,1
177,17,1
263,17,1
275,17,1
279,17,1
280,17,1
293,17,1
344,17,1
357,17,1
375,17,1
383,17,1
390,17,1
401,17,1
461,17,1
18,20,1
33,20,1
173,20,1
275,20,1
280,20,1
293,20,1
344,20,1
375,20,1
390,20,1
401,20,1
457,20,1
461,20,1
50,21,1
112,21,1
173,23,1
263,23,1
390,23,1
50,28,1
53,28,1
156,28,1
173,28,1
177,28,1
275,28,1
279,28,1
280,28,1
293,28,1
344,28,1
375,28,1
383,28,1
390,28,1
401,28,1
457,28,1
481,28,1
156,30,1
263,30,1
280,31,1
50,35,1
150,35,1
156,35,1
357,35,1
112,37,1
177,37,1
263,37,1
279,37,1
359,37,1
383,37,1
481,37,1
263,5,2
33,17,2
112,17,2
173,17,2
177,17,2
263,17,2
275,17,2
279,17,2
280,17,2
293,17,2
344,17,2
375,17,2
383,17,2
401,17,2
457,17,2
461,17,2
481,17,2
359,23,2
18,25,2
33,25,2
50,25,2
150,25,2
156,25,2
177,25,2
293,25,2
357,25,2
401,25,2
461,25,2
53,27,2
112,27,2
279,27,2
18,30,2
33,30,2
50,30,2
150,30,2
156,30,2
173,30,2
177,30,2
279,30,2
293,30,2
357,30,2
383,30,2
390,30,2
401,30,2
461,30,2
156,38,2
263,38,2
461,38,2
359,2,3
18,3,3
33,3,3
50,3,3
53,3,3
112,3,3
150,3,3
156,3,3
173,3,3
177,3,3
263,3,3
275,3,3
279,3,3
280,3,3
293,3,3
344,3,3
359,3,3
375,3,3
383,3,3
390,3,3
401,3,3
457,3,3
461,3,3
481,3,3
18,4,3
275,4,3
280,4,3
344,4,3
359,4,3
375,4,3
390,4,3
112,9,3
275,9,3
280,9,3
344,9,3
359,9,3
481,9,3
173,10,3
177,10,3
275,10,3
280,10,3
344,10,3
375,10,3
383,10,3
457,10,3
50,18,3
53,18,3
112,18,3
177,18,3
279,18,3
357,18,3
457,18,3
461,18,3
481,18,3
177,22,3
275,22,3
344,22,3
383,22,3
481,22,3
173,36,3
18,40,3
150,40,3
156,40,3
263,40,3
293,40,3
359,40,3
375,40,3
383,40,3
401,40,3
457,40,3
461,40,3
33,3,4
50,3,4
53,3,4
112,3,4
177,3,4
263,3,4
279,3,4
357,3,4
457,3,4
461,3,4
481,3,4
18,4,4
50,4,4
150,4,4
156,4,4
263,4,4
357,4,4
390,4,4
18,5,4
33,5,4
50,5,4
53,5,4
112,5,4
150,5,4
156,5,4
173,5,4
177,5,4
263,5,4
275,5,4
279,5,4
280,5,4
293,5,4
344,5,4
357,5,4
359,5,4
375,5,4
383,5,4
390,5,4
401,5,4
457,5,4
461,5,4
481,5,4
275,8,4
359,8,4
33,9,4
53,9,4
112,9,4
177,9,4
279,9,4
457,9,4
461,9,4
481,9,4
112,17,4
275,17,4
359,17,4
173,25,4
177,25,4
293,25,4
375,25,4
383,25,4
401,25,4
457,25,4
359,27,4
481,27,4
33,30,4
18,36,4
50,36,4
150,36,4
279,36,4
375,36,4
390,36,4
461,36,4
280,38,4
344,38,4
18,40,4
150,40,4
156,40,4
173,40,4
275,40,4
280,40,4
293,40,4
344,40,4
359,40,4
375,40,4
383,40,4
390,40,4
401,40,4
18,2,5
150,4,5
156,4,5
263,4,5
18,5,5
33,5,5
150,5,5
156,5,5
173,5,5
263,5,5
279,5,5
293,5,5
357,5,5
390,5,5
112,6,5
177,6,5
275,6,5
344,6,5
383,6,5
461,6,5
481,6,5
33,7,5
156,7,5
263,7,5
359,7,5
481,7,5
280,12,5
293,12,5
359,13,5
18,17,5
33,17,5
50,17,5
53,17,5
112,17,5
150,17,5
156,17,5
173,17,5
177,17,5
263,17,5
275,17,5
279,17,5
280,17,5
293,17,5
344,17,5
357,17,5
359,17,5
375,17,5
383,17,5
390,17,5
401,17,5
457,17,5
461,17,5
481,17,5
18,21,5
150,21,5
357,21,5
50,22,5
53,22,5
177,22,5
280,22,5
344,22,5
375,22,5
383,22,5
401,22,5
457,22,5
461,22,5
173,23,5
275,23,5
280,23,5
293,23,5
344,23,5
359,23,5
383,23,5
