"","year","TB_compartment","DR_compartment","HIV_compartment","G_compartment","prop_of_pop","region_name"
"1",1990,1,1,1,1,0.257323683538027,"Mpumalanga"
"2",1990,1,1,1,2,0.26660772868657,"Mpumalanga"
"3",1990,1,1,2,1,0.000123675598531717,"Mpumalanga"
"4",1990,1,1,2,2,0.00130875679326781,"Mpumalanga"
"5",1990,1,1,3,1,0,"Mpumalanga"
"6",1990,1,1,3,2,0,"Mpumalanga"
"7",1990,1,1,4,1,0,"Mpumalanga"
"8",1990,1,1,4,2,0,"Mpumalanga"
"9",1990,1,2,1,1,0,"Mpumalanga"
"10",1990,1,2,1,2,0,"Mpumalanga"
"11",1990,1,2,2,1,0,"Mpumalanga"
"12",1990,1,2,2,2,0,"Mpumalanga"
"13",1990,1,2,3,1,0,"Mpumalanga"
"14",1990,1,2,3,2,0,"Mpumalanga"
"15",1990,1,2,4,1,0,"Mpumalanga"
"16",1990,1,2,4,2,0,"Mpumalanga"
"17",1990,2,1,1,1,0.0294614410511031,"Mpumalanga"
"18",1990,2,1,1,2,0.0305738600488818,"Mpumalanga"
"19",1990,2,1,2,1,1.41598367686329e-05,"Mpumalanga"
"20",1990,2,1,2,2,0.000150084722721728,"Mpumalanga"
"21",1990,2,1,3,1,0,"Mpumalanga"
"22",1990,2,1,3,2,0,"Mpumalanga"
"23",1990,2,1,4,1,0,"Mpumalanga"
"24",1990,2,1,4,2,0,"Mpumalanga"
"25",1990,2,2,1,1,0.00110021979029016,"Mpumalanga"
"26",1990,2,2,1,2,0.00114176240846447,"Mpumalanga"
"27",1990,2,2,2,1,5.2879058472073e-07,"Mpumalanga"
"28",1990,2,2,2,2,5.60482367010604e-06,"Mpumalanga"
"29",1990,2,2,3,1,0,"Mpumalanga"
"30",1990,2,2,3,2,0,"Mpumalanga"
"31",1990,2,2,4,1,0,"Mpumalanga"
"32",1990,2,2,4,2,0,"Mpumalanga"
"33",1990,3,1,1,1,0.19149936683217,"Mpumalanga"
"34",1990,3,1,1,2,0.198730090317732,"Mpumalanga"
"35",1990,3,1,2,1,9.20389389961138e-05,"Mpumalanga"
"36",1990,3,1,2,2,0.000975550697691235,"Mpumalanga"
"37",1990,3,1,3,1,0,"Mpumalanga"
