"region_name","year","val_rate","upper_rate","lower_rate"
"Eastern Cape",1990,349.484880893632,552.397297163838,224.513206235498
"Free State",1990,647.422887326569,1021.82947815132,417.075296183553
"Gauteng",1990,497.188721075346,690.91743974234,359.804686093711
"KwaZulu-Natal",1990,1107.48222162142,1482.17740269235,789.007015362354
"Limpopo",1990,386.404388690391,579.954812621097,264.306661356632
"Mpumalanga",1990,522.756485542988,881.939175958962,314.401051182436
"North-West",1990,871.479677134293,1496.32808760325,463.469579245864
"Northern Cape",1990,361.157524390242,692.257754436337,192.688906857122
"Western Cape",1990,89.4787290111763,182.126346379161,51.5798572190712
"Eastern Cape",1991,565.765721016464,899.443127531973,359.336177817261
"Free State",1991,1057.94492685327,1703.88198502512,677.885475052597
"Gauteng",1991,842.482082953905,1148.60490960938,618.842955813625
"KwaZulu-Natal",1991,1789.44417633963,2363.09796384152,1315.24072227404
"Limpopo",1991,591.901657946724,887.419645264917,403.643780818554
"Mpumalanga",1991,856.819349930202,1420.06154552399,510.057867340639
"North-West",1991,1351.21277022888,2332.66640331318,719.561470021726
"Northern Cape",1991,555.928132658214,1020.02928817183,293.284001640904
"Western Cape",1991,138.567357509117,278.537815498079,76.8013949321516
"Eastern Cape",1992,920.342985006175,1419.46912392199,600.053121770611
"Free State",1992,1705.73653362947,2666.37510819232,1100.25927519768
"Gauteng",1992,1392.39995361235,1881.14223005352,1019.88769925321
"KwaZulu-Natal",1992,2815.89219560659,3715.53701795661,2103.75530928512
"Limpopo",1992,901.128634900629,1343.77766950807,605.324424624314
"Mpumalanga",1992,1396.30588413003,2335.8148487525,817.584690621952
"North-West",1992,2039.65732560618,3441.81935789952,1074.25235311206
"Northern Cape",1992,851.700443973401,1497.26418520419,456.523511035429
"Western Cape",1992,221.143896431603,417.450017016127,123.306576808565
"Eastern Cape",1993,1467.70444517218,2164.3983112544,965.837364561015
"Free State",1993,2665.53663529435,4009.03411760214,1722.46021161423
"Gauteng",1993,2239.61336382763,3039.65152154598,1636.20828566998
"KwaZulu-Natal",1993,4263.28712297137,5613.80437516165,3215.50403761969
"Limpopo",1993,1345.84840575112,2002.42144708157,902.73420893174
"Mpumalanga",1993,2224.97592973245,3633.76199467282,1326.0975058705
"North-West",1993,2973.11571425293,4875.49187417371,1607.70639576099
"Northern Cape",1993,1271.61953606351,2147.93810975496,706.07246164494
"Western Cape",1993,348.159505117275,626.375705693449,197.914226952353
"Eastern Cape",1994,2266.43372284419,3241.16302674757,1541.52531270944
"Free State",1994,3982.92201160233,5817.89674593089,2580.86972888754
"Gauteng",1994,3461.91420792248,4645.61795027875,2531.535109135
"KwaZulu-Natal",1994,6146.71529425639,8129.42433705726,4659.21428818338
"Limpopo",1994,1955.41660396836,2814.49516839075,1349.14940427419
"Mpumalanga",1994,3416.28769100048,5391.46332932649,2074.55477378487
"North-West",1994,4162.85414305167,6480.6455117549,2329.76595707614
"Northern Cape",1994,1830.64263532934,2950.71184809197,1057.31721697945
"Western Cape",1994,533.514839323168,922.40162447721,308.482886449401
"Eastern Cape",1995,3359.17674503626,4660.35947704827,2369.38636093345
"Free State",1995,5639.16478251413,7896.09600999465,3728.40823795382
"Gauteng",1995,5070.21551358319,6623.99155592561,3787.20492633207
"KwaZulu-Natal",1995,8389.52575865623,10908.6751033237,6471.82698217867
"Limpopo",1995,2747.25546001473,3861.85726677286,1940.06420568266
"Mpumalanga",1995,4995.38588224849,7581.09946137576,3145.81332653851
"North-West",1995,5583.04137674891,8299.55045104519,3327.69125864921
"Northern Cape",1995,2526.70606224524,3886.67876509066,1518.37170106778
"Western Cape",1995,791.911737871552,1319.39304120388,464.815078717876
"Eastern Cape",1996,4762.93713142812,6424.27236633369,3469.92075182673
"Free State",1996,7543.93033081125,10285.7612321561,5232.02551575019
"Gauteng",1996,6970.5434231811,8877.57115436143,5380.50582530386
"KwaZulu-Natal",1996,10838.6589949617,13583.8092236265,8518.50323769294
"Limpopo",1996,3725.0752155869,5067.77376815641,2706.60128613587
"Mpumalanga",1996,6917.79635376073,10069.902308071,4495.97199418932
"North-West",1996,7183.25733883402,10135.4202914605,4553.55392656633
"Northern Cape",1996,3350.42239569805,4890.42554362568,2127.13954579237
"Western Cape",1996,1144.95944446468,1823.53643001184,699.326329067824
"Eastern Cape",1997,6411.72852820235,8303.59859084974,4862.90931994531
"Free State",1997,9538.02689400341,12654.1680416733,6887.54195584771
"Gauteng",1997,8967.13895851047,11108.6035889564,7165.91910317668
"KwaZulu-Natal",1997,13291.7760043409,16150.8309389413,10802.367901119
"Limpopo",1997,4852.26134857964,6409.92196911044,3673.16395123252
"Mpumalanga",1997,9047.2059810186,12607.5083178307,6145.41585009701
"North-West",1997,8868.71036445443,12106.3224848438,5994.79081799073
"Northern Cape",1997,4257.43008529743,6021.06208131597,2808.50776370709
"Western Cape",1997,1598.0490889888,2423.23127430816,1034.60253661243
"Eastern Cape",1998,8150.64688270166,10207.7999801426,6438.21176536078
"Free State",1998,11442.0764870677,14768.6710542845,8589.22255791643
"Gauteng",1998,10833.5429990801,12979.0636700416,8909.38108399821
"KwaZulu-Natal",1998,15553.7432219477,18309.1195344466,13008.9573544202
"Limpopo",1998,6046.76890956636,7723.43827685368,4731.79889726615
"Mpumalanga",1998,11192.8169526106,14927.4273002065,8020.38535633773
"North-West",1998,10515.3582208174,13904.683974627,7383.77465788745
"Northern Cape",1998,5173.03583123697,7077.31357208473,3558.12704573411
"Western Cape",1998,2126.41131237689,3060.04819005292,1436.80831151217
"Eastern Cape",1999,9813.10147983835,11878.0937243852,7920.42534646234
"Free State",1999,13124.089340446,16546.542874877,10313.1082640119
"Gauteng",1999,12410.6411391593,14615.6872027223,10404.003617029
"KwaZulu-Natal",1999,17497.7228685784,20005.7188144064,15042.7798778907
"Limpopo",1999,7218.50211081474,9027.84856056621,5753.97531291025
"Mpumalanga",1999,13187.8359685204,16905.5163631242,9898.04997114102
"North-West",1999,12020.1512003949,15452.1937040408,8679.69005020767
"Northern Cape",1999,6028.20676575576,8171.82083913945,4258.86197422715
"Western Cape",1999,2691.34515689006,3701.02990158086,1909.76491444109
"Eastern Cape",2000,11270.004165812,13464.5634505586,9286.08503531942
"Free State",2000,14529.1527889548,17867.0339105878,11702.4834488323
"Gauteng",2000,13637.040296484,15767.6698232156,11568.3309714743
"KwaZulu-Natal",2000,19070.7148699021,21489.6468649185,16707.8631721135
"Limpopo",2000,8292.08353061608,10173.1371378616,6652.38784921441
"Mpumalanga",2000,14922.9741289427,18456.9834866845,11613.6794424458
"North-West",2000,13319.5943095661,16869.3147098532,9987.44329443772
"Northern Cape",2000,6773.32705313866,8992.1972206772,4892.38092933709
"Western Cape",2000,3248.56925308516,4385.34603147876,2349.30218329506
"Eastern Cape",2001,12461.4895421404,14784.5920679956,10389.089416928
"Free State",2001,15641.1381094076,18911.1659633763,12831.5303101064
"Gauteng",2001,14515.0572894506,16620.8957494085,12422.5036998523
"KwaZulu-Natal",2001,20268.4188091403,22715.9486714578,17969.8148780908
"Limpopo",2001,9229.25602038468,11177.5967314928,7497.0788243428
"Mpumalanga",2001,16351.6831115806,19763.1508281501,13064.9988753545
"North-West",2001,14391.5192663934,18002.0331239237,11083.0074055971
"Northern Cape",2001,7396.27533896273,9736.38250658867,5357.7686752208
"Western Cape",2001,3769.44183988743,5009.98204300037,2763.2005057459
"Eastern Cape",2002,13379.0984277706,15715.4846457875,11176.0752230072
"Free State",2002,16473.9783404855,19779.5454000202,13647.2737164335
"Gauteng",2002,15084.5983064106,17166.1953558574,12989.9251032761
"KwaZulu-Natal",2002,21126.3693656013,23639.1405386634,18798.3739438372
"Limpopo",2002,10003.9708928294,12040.8353633633,8145.15677847814
"Mpumalanga",2002,17463.2221942174,20787.5244288478,14262.3899512101
"North-West",2002,15223.037291064,18732.0166913872,11855.6700283725
"Northern Cape",2002,7898.19045159793,10196.1247920953,5750.1650564334
"Western Cape",2002,4234.81591014781,5555.17907949413,3125.96064319807
"Eastern Cape",2003,14048.7784550552,16414.9755388566,11815.6453193038
"Free State",2003,17061.0089548093,20211.8017350423,14258.8478807637
"Gauteng",2003,15400.3232834709,17472.4154822533,13367.4857256055
"KwaZulu-Natal",2003,21707.9720687101,24202.0106581128,19385.6062032895
"Limpopo",2003,10607.5970152716,12729.676774048,8631.72668441701
"Mpumalanga",2003,18288.4390526305,21653.1710427655,15107.7819188362
"North-West",2003,15844.2142263912,19302.0846834213,12606.412062857
"Northern Cape",2003,8280.90503183186,10538.9933951026,6078.58770907916
"Western Cape",2003,4627.48583955925,6016.18273783759,3445.5499012133
"Eastern Cape",2004,14527.2421925078,16961.6724085711,12258.8504301241
"Free State",2004,17454.567432887,20524.6324959357,14661.4083207516
"Gauteng",2004,15534.238453408,17555.0066867517,13521.0730574248
"KwaZulu-Natal",2004,22088.9346318686,24586.0192869994,19747.4210766267
"Limpopo",2004,11055.9937489429,13248.8359735706,8972.28295752127
"Mpumalanga",2004,18882.3844287303,22264.9762389491,15658.4856408178
"North-West",2004,16295.7612920915,19699.9003253713,13136.0088776705
"Northern Cape",2004,8558.25873676399,10802.5477887511,6330.0576417733
"Western Cape",2004,4947.47102824976,6433.70579774732,3692.69802956916
"Eastern Cape",2005,14870.9938537227,17355.1671943436,12611.084536785
"Free State",2005,17704.959014961,20829.568318462,14992.9676520055
"Gauteng",2005,15550.7632467092,17557.6409728524,13506.4729620072
"KwaZulu-Natal",2005,22329.5615015921,24849.9349222951,20027.2550039673
"Limpopo",2005,11366.0874314899,13573.994451552,9282.58394629901
"Mpumalanga",2005,19308.8227944625,22659.5282748847,16151.2964943352
"North-West",2005,16622.444523412,19917.0777337233,13538.7650273046
"Northern Cape",2005,8745.67475123743,10984.8946185496,6543.15478186818
"Western Cape",2005,5203.5367687045,6760.17394046079,3889.85883338743
"Eastern Cape",2006,15140.5943126133,17570.2500067564,12848.5747338814
"Free State",2006,17894.8815233072,21050.7701488636,15225.294061119
"Gauteng",2006,15501.2306619403,17557.438118141,13516.0451572428
"KwaZulu-Natal",2006,22494.9792937477,24998.1372367746,20131.5517973439
"Limpopo",2006,11587.4808337701,13700.609795291,9524.88016089744
"Mpumalanga",2006,19634.1343710832,22887.1044054807,16428.0309177138
"North-West",2006,16883.5173300095,20091.6569126199,13948.6681058779
"Northern Cape",2006,8875.79291025049,11111.2972123726,6658.43603898498
"Western Cape",2006,5423.21506469286,7014.43058619558,4050.32161854959
"Eastern Cape",2007,15392.5163349194,17794.5700554284,13087.3068854633
"Free State",2007,18064.9445181585,21155.539238469,15397.3848344102
"Gauteng",2007,15425.4061179773,17484.2894240942,13468.6684911364
"KwaZulu-Natal",2007,22640.3066829497,25112.0836499617,20236.1823681729
"Limpopo",2007,11782.347832974,13949.132501194,9653.61977264184
"Mpumalanga",2007,19939.7731462588,23135.1848427725,16918.8041260381
"North-West",2007,17115.14574084,20217.6680757661,14269.766307729
"Northern Cape",2007,8987.82838548896,11186.2360193729,6700.77645266518
"Western Cape",2007,5632.44211195605,7256.23970868228,4178.24687863847
"Eastern Cape",2008,15685.3362776938,18046.6196310773,13464.9699516733
"Free State",2008,18286.8657840727,21326.2678044078,15561.9807161658
"Gauteng",2008,15391.1758890845,17485.9891436086,13494.8889410242
"KwaZulu-Natal",2008,22877.0773145236,25424.0588714846,20433.6556541169
"Limpopo",2008,11998.5558431253,14163.3068577298,9826.65197441684
"Mpumalanga",2008,20309.6627507529,23469.6097474577,17330.0203670029
"North-West",2008,17387.2960098167,20376.8883886649,14655.3889764208
"Northern Cape",2008,9127.64812043567,11266.2385510547,6841.48807370455
"Western Cape",2008,5870.66590637514,7524.98676976797,4359.80015851118
"Eastern Cape",2009,16085.8838392183,18502.0388164416,13760.4617440995
"Free State",2009,18638.9715699352,21704.0696578279,15958.9155069722
"Gauteng",2009,15437.7183737411,17577.8697135841,13556.9175667624
"KwaZulu-Natal",2009,23299.3683968908,25806.9567758873,20907.8212347849
"Limpopo",2009,12266.0921533257,14466.6558927071,10056.273718169
"Mpumalanga",2009,20780.1748375972,23930.9564527577,17771.5387745165
"North-West",2009,17758.4735056665,20724.2901454886,15070.6488801179
"Northern Cape",2009,9324.06967855731,11484.7111427679,7042.5294790425
"Western Cape",2009,6153.89420051513,7880.5421380557,4631.65865889309
"Eastern Cape",2010,16566.2908821322,18987.6071539029,14201.2980595171
"Free State",2010,19092.0179535704,22110.7537683893,16391.0260691819
"Gauteng",2010,15575.4378480625,17659.6423307405,13640.0562581634
"KwaZulu-Natal",2010,23875.9273731332,26311.1836965278,21487.6992066004
"Limpopo",2010,12558.5656372857,14784.2051424121,10409.7418798585
"Mpumalanga",2010,21346.9813385308,24511.9877197477,18245.0248687715
"North-West",2010,18212.6394140817,21144.6912513627,15647.6394118445
"Northern Cape",2010,9557.77807346145,11768.2723670973,7290.4821569282
"Western Cape",2010,6474.23241002663,8288.38259928241,4879.70694286141
"Eastern Cape",2011,17153.6385393545,19493.3710526126,14826.6718566685
"Free State",2011,19664.3122087384,22625.4771812025,16913.5024938582
"Gauteng",2011,15759.0824455686,17789.150907952,13895.9992446924
"KwaZulu-Natal",2011,24502.9063800315,26986.9071625249,22196.8736612205
"Limpopo",2011,12902.6519000872,15148.9040073142,10706.0095115489
"Mpumalanga",2011,21997.7802451722,25066.1974057193,18974.3566194459
"North-West",2011,18728.0280809921,21594.280050968,16167.7044728616
"Northern Cape",2011,9856.39951715303,12136.7031713953,7591.37988690393
"Western Cape",2011,6848.79268211567,8739.04846938193,5189.09017207218
"Eastern Cape",2012,17783.6233021048,20074.5218877865,15382.3495591167
"Free State",2012,20331.8943667302,23226.7734724527,17642.3402786688
"Gauteng",2012,15984.6274415079,18007.3545209797,14131.0929211433
"KwaZulu-Natal",2012,25246.44325363,27587.9971864213,22949.3444589221
"Limpopo",2012,13338.7906342043,15621.5968011749,11051.3716170285
"Mpumalanga",2012,22642.1639739104,25715.8694328046,19537.0479682794
"North-West",2012,19280.7136904271,22110.535627957,16782.6985663098
"Northern Cape",2012,10194.4233046085,12486.1394319644,7889.29804570939
"Western Cape",2012,7256.48038372982,9266.40109868524,5550.83405478251
"Eastern Cape",2013,18481.1822007716,20818.4772180986,16047.0419703438
"Free State",2013,21102.8180160898,24091.3061016071,18397.1713899649
"Gauteng",2013,16285.0887590034,18274.2887937871,14395.8459421862
"KwaZulu-Natal",2013,26061.8349677218,28346.2753450453,23806.0965858729
"Limpopo",2013,13799.5450533433,16133.7016672007,11472.164261904
"Mpumalanga",2013,23369.9373488965,26542.0939442955,20197.9016046524
"North-West",2013,19905.2972822113,22724.9588163051,17386.5685786424
"Northern Cape",2013,10585.6031361319,12823.4086669418,8120.74739678237
"Western Cape",2013,7705.1550422533,9765.17941471123,5933.61881836008
"Eastern Cape",2014,19169.7419867465,21627.0185457977,16690.5222674237
"Free State",2014,21855.0240719949,24873.5792965147,19043.4467845617
"Gauteng",2014,16585.6159477596,18677.2484063304,14715.9160519925
"KwaZulu-Natal",2014,26820.5850718656,29107.3623619635,24550.8334707507
"Limpopo",2014,14245.4879316211,16710.714805277,11859.9648127758
"Mpumalanga",2014,24063.770987875,27372.2325978139,20866.9062348377
"North-West",2014,20499.1861066161,23353.7291214253,17852.9864812238
"Northern Cape",2014,10983.111499189,13283.1757505248,8489.34497058278
"Western Cape",2014,8172.78778665514,10424.3474612155,6327.5685029814
"Eastern Cape",2015,19803.3917074934,22353.5276474575,17161.5433096715
"Free State",2015,22554.3373212814,25658.7120323485,19668.6052521507
"Gauteng",2015,16860.0753254444,18977.3725720486,14940.3389012847
"KwaZulu-Natal",2015,27518.4086653202,29884.5766511534,25169.44877123
"Limpopo",2015,14631.4488721057,17150.5362966794,12062.362284713
"Mpumalanga",2015,24687.7683764123,28256.0991374783,21372.4112287657
"North-West",2015,21023.3247906351,23975.395123096,18311.1470299761
"Northern Cape",2015,11349.6000282617,13840.3772963064,8702.35703355363
"Western Cape",2015,8640.94372613595,10990.3537339613,6706.52844422121
"Eastern Cape",2016,20378.6251077821,23131.9565981725,17563.0089909983
"Free State",2016,23182.9490397803,26469.1505814096,20195.6271566506
"Gauteng",2016,17089.0462448933,19362.5920599724,15047.7950064067
"KwaZulu-Natal",2016,28134.9283547275,30601.3924340028,25702.4299810565
"Limpopo",2016,14949.1377128143,17644.6474153711,12220.2186411386
"Mpumalanga",2016,25234.8813670968,29045.0370612556,21729.7882568659
"North-West",2016,21464.7081612226,24544.4824969581,18616.2068001103
"Northern Cape",2016,11670.4225768162,14270.9153029108,8940.24421070514
"Western Cape",2016,9099.27729797812,11572.4855155269,7064.05416960293
"Eastern Cape",2017,20879.6682441466,23833.8191920772,17894.6249387674
"Free State",2017,23718.9210485737,27104.7841704962,20546.2539424136
"Gauteng",2017,17261.1309371167,19651.529327397,15101.4656117302
"KwaZulu-Natal",2017,28652.6080187319,31374.7067936171,25885.3698679749
"Limpopo",2017,15205.4880035081,18232.6375299357,12352.4478135399
"Mpumalanga",2017,25693.3752359043,29745.4547804907,22044.2457304323
"North-West",2017,21809.3232215062,24959.049193148,18831.25848747
"Northern Cape",2017,11948.5120057095,14622.2221894601,9207.63440297206
"Western Cape",2017,9546.1812789646,12245.4437260093,7374.12126354129
"Eastern Cape",2018,21307.2890121298,24529.2180444294,18082.9093412125
"Free State",2018,24168.5592503605,27786.0327156377,20815.1693248787
"Gauteng",2018,17399.2127868279,19922.6269189731,15153.7225217738
"KwaZulu-Natal",2018,29064.0850114452,32051.6455233329,25996.8646757745
"Limpopo",2018,15397.2551185527,18652.7831193036,12435.1581865193
"Mpumalanga",2018,26078.7955255519,30389.3978265182,22268.4615495092
"North-West",2018,22041.4263908201,25286.3700685174,18912.7675563783
"Northern Cape",2018,12206.4947191614,14992.1589200461,9279.37448270579
"Western Cape",2018,9992.92542482278,12921.6947238041,7664.90205553051
"Eastern Cape",2019,21595.6955636476,25189.8387436099,18127.377219408
"Free State",2019,24466.6817230322,28247.9641853411,20860.4271970935
"Gauteng",2019,17471.2793521811,20217.7704871423,15066.8807770156
"KwaZulu-Natal",2019,29274.5769453622,32686.1624973886,25914.3597873765
"Limpopo",2019,15463.4058861035,18967.890674979,12329.5506983206
"Mpumalanga",2019,26348.9773638905,30872.1102494536,22245.0610119867
"North-West",2019,22085.6876361921,25593.9484612467,18771.9745033048
"Northern Cape",2019,12449.1410304072,15426.7536009337,9397.57780890558
"Western Cape",2019,10456.3077456963,13675.4181495467,7949.73451672924
