"region_name","year","val_rate","upper_rate","lower_rate"
"Eastern Cape",1990,65.5396006891807,106.928931351344,37.9759190233805
"Free State",1990,82.5859411494313,130.288831933167,50.7997187111051
"Gauteng",1990,63.8764325610125,98.4485931370473,40.1041189717449
"KwaZulu-Natal",1990,88.3372726794027,142.274846226567,52.3841328494644
"Limpopo",1990,29.5337259515167,51.9718265746514,16.1866432878059
"Mpumalanga",1990,54.5214780105182,89.0193035197307,32.2116278459342
"North-West",1990,53.649397665157,95.2399396825018,29.1824717229517
"Northern Cape",1990,55.3557004686482,93.9944253214924,30.8769952456943
"Western Cape",1990,51.7388836219209,77.8850696028455,33.5309871165797
"Eastern Cape",1991,72.1639024784058,117.591195721307,42.1103231401187
"Free State",1991,86.3169573528591,140.995626267673,51.2199065297764
"Gauteng",1991,66.3312995181158,105.24717651963,40.6047186120582
"KwaZulu-Natal",1991,96.9341307793882,161.298119910258,55.2443413855802
"Limpopo",1991,31.7830011211296,56.6676139356002,16.9272190238379
"Mpumalanga",1991,61.5354311393639,103.541664339496,35.8174496564864
"North-West",1991,67.7700352183949,122.854576981,36.9695825836409
"Northern Cape",1991,59.4598625265798,102.284289867765,33.2208643263495
"Western Cape",1991,52.3959328911591,79.7513895472957,33.7642535697354
"Eastern Cape",1992,86.9638419757064,142.328457025201,50.7060152576156
"Free State",1992,102.32974988043,172.158084722505,58.7247621507063
"Gauteng",1992,79.3178247310075,130.078137044086,46.4648763746535
"KwaZulu-Natal",1992,115.911129112752,199.810883434719,63.3719812861781
"Limpopo",1992,37.6470584903758,67.2224791696956,19.9414676730598
"Mpumalanga",1992,77.9214063647444,134.951444638646,44.6908428952253
"North-West",1992,92.6826595200902,170.210032439715,50.1477163712529
"Northern Cape",1992,77.1961230014926,132.459231568956,43.8403061473355
"Western Cape",1992,52.8973299365167,82.0059702045825,33.9670768033264
"Eastern Cape",1993,94.9437568760993,158.196321431869,54.2593381930877
"Free State",1993,116.272959323781,204.07662298246,63.3131132913662
"Gauteng",1993,85.7665070891278,147.090237250344,46.5483958236293
"KwaZulu-Natal",1993,144.278156797091,260.164273688648,75.9765632439673
"Limpopo",1993,45.2144814339519,82.9677474908287,23.4173298738966
"Mpumalanga",1993,80.2948838917666,150.941111682782,41.89001508379
"North-West",1993,113.614279569273,219.74241727779,58.7329577360218
"Northern Cape",1993,76.9229912989554,137.193488516213,41.6492435525925
"Western Cape",1993,47.0087112897042,75.0839548154054,29.2312196525335
"Eastern Cape",1994,117.081345504681,197.892755536758,66.0518938153851
"Free State",1994,144.658982908759,267.014360573587,75.2748040314149
"Gauteng",1994,112.908738640357,201.225538459663,58.6443079705645
"KwaZulu-Natal",1994,192.934132038226,361.607607169258,99.3037273251054
"Limpopo",1994,59.463683295418,110.755596246565,30.5044405676945
"Mpumalanga",1994,111.976063256867,216.234164567799,57.0859684736523
"North-West",1994,157.194538142304,305.077499404946,81.4644601988703
