"region_name","year","val_rate","upper_rate","lower_rate"
"Eastern Cape",1990,688.896776232724,839.398316235973,559.986393227296
"Free State",1990,637.92521733574,776.930856242087,522.613368068376
"Gauteng",1990,559.561004362181,680.329525712119,455.933503695731
"KwaZulu-Natal",1990,774.408864894948,942.467004707682,626.634660537114
"Limpopo",1990,470.585454367127,578.102213948199,373.749863265873
"Mpumalanga",1990,670.252900895734,832.580378805417,540.640263210139
"North-West",1990,599.587883156368,735.741847145948,480.359123525898
"Northern Cape",1990,559.970336423541,684.049908508648,454.449821000134
"Western Cape",1990,564.512199557078,755.534940203275,375.383015268636
"Eastern Cape",1991,678.050407787977,826.696654243909,553.997854398676
"Free State",1991,620.30115518217,756.253006362139,507.384703927549
"Gauteng",1991,552.60971038124,670.864730791018,451.079313953788
"KwaZulu-Natal",1991,774.292544359309,944.722496641332,626.391038391278
"Limpopo",1991,464.788769551537,571.748012016474,370.972487327776
"Mpumalanga",1991,650.19457656415,809.476485986876,524.61185619461
"North-West",1991,609.169082282393,749.243078183661,487.212809756458
"Northern Cape",1991,549.814001676899,672.212409393966,448.908769057699
"Western Cape",1991,544.863367527916,726.915406466404,363.431084965327
"Eastern Cape",1992,681.546092828968,831.107433464135,553.763970183824
"Free State",1992,614.171609641871,752.228622270494,499.164988225181
"Gauteng",1992,552.467780192961,671.425024889739,451.338082405157
"KwaZulu-Natal",1992,784.311080674379,965.326736293275,628.903480327521
"Limpopo",1992,467.420754709671,579.296271671845,370.413702877745
"Mpumalanga",1992,643.567602871366,805.825904688676,515.567461878503
"North-West",1992,628.346620805399,778.498729503757,499.549185950081
"Northern Cape",1992,550.643059827224,672.352300399869,449.390408625304
"Western Cape",1992,533.82398820915,712.827074221028,354.632901017054
"Eastern Cape",1993,698.292772398155,854.04835120391,564.831012694259
"Free State",1993,621.130228549266,765.823025072358,500.731728866122
"Gauteng",1993,561.17975399151,685.87363118467,456.754460738916
"KwaZulu-Natal",1993,806.76207573388,1000.95636006264,644.397035525049
"Limpopo",1993,479.258605057608,597.669492626076,377.583367034445
"Mpumalanga",1993,652.456037363084,820.688597562005,518.709954310425
"North-West",1993,657.680077809889,822.322521678577,522.312818357514
"Northern Cape",1993,561.742148097768,691.736355933249,456.21533267589
"Western Cape",1993,530.997661625431,713.232757932461,351.66637850735
"Eastern Cape",1994,727.281095808187,896.536734730647,586.04103914522
"Free State",1994,642.852210400704,798.880968799118,514.797202940647
"Gauteng",1994,580.915146834052,716.007486648706,471.179583061961
"KwaZulu-Natal",1994,844.060921675409,1049.51694452147,671.167778905944
"Limpopo",1994,501.181599478832,631.354115274485,391.708832110775
"Mpumalanga",1994,679.026678001093,861.793855522926,535.51991981798
"North-West",1994,697.909305556617,879.423986176253,553.096225537524
"Northern Cape",1994,582.489050056308,724.330600796799,468.689168141084
"Western Cape",1994,536.009403630165,724.926373293775,351.537834152953
"Eastern Cape",1995,767.500275895137,953.449153425263,612.91073965782
"Free State",1995,680.958772739176,854.902386510548,541.829791852765
"Gauteng",1995,613.82966637556,765.198850582201,493.510218325916
"KwaZulu-Natal",1995,898.588318153268,1121.84573034544,712.23810987951
"Limpopo",1995,534.14335265188,676.232162889711,414.613712028785
"Mpumalanga",1995,725.418654794596,927.62999619425,568.529500137552
"North-West",1995,749.763574279904,946.904052551447,593.264533373644
"Northern Cape",1995,612.226707711785,769.621376598119,489.554346990589
"Western Cape",1995,548.480775353217,746.675209998889,357.670255036315
"Eastern Cape",1996,829.767967290192,1029.85452864536,665.526225174213
"Free State",1996,736.623054413795,923.666166117561,584.699385705039
"Gauteng",1996,661.022232861342,827.442075189199,527.137701049868
"KwaZulu-Natal",1996,971.411055541152,1213.1295292979,771.29054635994
"Limpopo",1996,580.53549764786,737.377396606591,451.880728283973
"Mpumalanga",1996,793.737111069289,1015.02517927147,621.319122662072
"North-West",1996,820.907511806649,1036.24999582992,651.888343772105
"Northern Cape",1996,660.143183441444,835.584612826682,526.052961264539
"Western Cape",1996,575.406426058932,786.360222687996,373.765440049367
"Eastern Cape",1997,917.682642115425,1140.13855565765,734.347232813239
"Free State",1997,806.904782458815,1020.43587562151,638.730306189771
"Gauteng",1997,718.293633783118,907.320831404567,567.381771508533
"KwaZulu-Natal",1997,1057.80458463648,1322.53501984355,835.612001744056
"Limpopo",1997,639.695863682134,820.089361410251,498.977033346103
"Mpumalanga",1997,879.68524162815,1131.10212585247,685.647323208478
"North-West",1997,910.81118865069,1156.50457898896,721.427901070099
"Northern Cape",1997,729.058274693123,937.674801948682,574.477436182102
"Western Cape",1997,618.712688449609,862.752086130825,399.295747306128
"Eastern Cape",1998,1017.28855211631,1272.6929229185,809.376302021427
"Free State",1998,886.590223177661,1136.59614791267,696.574334625437
"Gauteng",1998,779.647646182415,997.918650967969,609.240916693974
"KwaZulu-Natal",1998,1150.49901878992,1447.59161281263,908.450966534924
"Limpopo",1998,706.190041627814,909.461846502485,549.259330390921
"Mpumalanga",1998,975.083519221766,1260.95471747183,757.226634610112
"North-West",1998,1007.35848444373,1293.06990359889,797.591859853824
"Northern Cape",1998,808.449868511601,1057.01074181756,626.599713644386
"Western Cape",1998,669.436348402495,952.253278807563,425.704955680109
"Eastern Cape",1999,1114.65551205228,1407.13162264275,879.123194465657
"Free State",1999,970.425471342904,1253.28108980108,758.490176726707
"Gauteng",1999,838.882388440808,1087.3204297638,648.351924396649
"KwaZulu-Natal",1999,1242.1645952864,1580.522346033,979.227305869179
"Limpopo",1999,774.522347735089,1008.06135045892,596.730819573939
"Mpumalanga",1999,1071.64818812292,1414.45788798807,826.991186251203
"North-West",1999,1098.30003294768,1426.42652553759,865.740865308736
"Northern Cape",1999,887.637845119531,1180.15744773767,677.967819443046
"Western Cape",1999,718.43713604549,1032.40491007635,452.87868034742
"Eastern Cape",2000,1195.97857537884,1525.28190146232,936.096868604602
"Free State",2000,1053.12268081913,1387.6042101108,813.981156080213
"Gauteng",2000,889.845015915762,1168.21502226009,680.591018891175
"KwaZulu-Natal",2000,1325.61408478507,1696.98374437073,1045.225040996
"Limpopo",2000,839.252834518204,1113.07357843681,639.065915781281
"Mpumalanga",2000,1161.05675221915,1550.30908598349,885.5866114302
"North-West",2000,1171.37275113383,1537.07140580803,914.267538171885
"Northern Cape",2000,955.836431088428,1296.78420104254,716.57719077339
"Western Cape",2000,756.629794292897,1102.18767416376,471.792663204396
"Eastern Cape",2001,1270.44009314627,1622.15469604696,996.191860421379
"Free State",2001,1155.18205753095,1519.58864958287,896.594302659192
"Gauteng",2001,940.689962723577,1239.11071017054,718.907109390651
"KwaZulu-Natal",2001,1416.5580797014,1815.70793861886,1114.44709320678
"Limpopo",2001,912.22597349279,1210.2811396393,696.414515719073
"Mpumalanga",2001,1260.79393312254,1676.01276897781,961.724506841317
"North-West",2001,1236.57248135945,1626.07740760365,956.063298834498
"Northern Cape",2001,1021.62412238014,1385.45864501062,764.5806104121
"Western Cape",2001,788.325832329528,1155.48838196843,489.7491058805
"Eastern Cape",2002,1349.85642079099,1735.12488130456,1054.87816061023
"Free State",2002,1282.54226809878,1692.95928443655,994.503467791445
"Gauteng",2002,997.217907944772,1323.1420312636,757.892679705517
"KwaZulu-Natal",2002,1522.2070232102,1944.77929209995,1195.07332971495
"Limpopo",2002,999.58380276644,1329.87182713338,762.733189719605
"Mpumalanga",2002,1378.87752189944,1827.4805315603,1051.98561208002
"North-West",2002,1305.19024947489,1735.91915334025,999.817776003745
"Northern Cape",2002,1093.44947517745,1481.4254521871,819.280657869431
"Western Cape",2002,820.940517287117,1212.70924262765,506.130019104534
"Eastern Cape",2003,1421.84795778646,1840.63220333401,1101.04299697875
"Free State",2003,1407.6698939733,1864.82550847159,1088.25939620276
"Gauteng",2003,1050.03388517766,1396.6817145045,788.563121395553
"KwaZulu-Natal",2003,1622.62371696607,2080.37474466612,1275.32598712008
"Limpopo",2003,1085.59410633065,1458.46404743336,821.493458590406
"Mpumalanga",2003,1492.58160088025,1973.01110554915,1126.26940855922
"North-West",2003,1366.96105430926,1827.9702955844,1032.02264927968
"Northern Cape",2003,1160.10335561873,1578.60526471097,862.502924142667
"Western Cape",2003,849.605953007188,1261.77425360698,513.59539885658
"Eastern Cape",2004,1474.51395068161,1930.77978974492,1139.98807724071
"Free State",2004,1503.85263341754,2009.33513910165,1161.36196867968
"Gauteng",2004,1090.12809083273,1459.35579929691,810.484325745984
"KwaZulu-Natal",2004,1698.81960683436,2189.44129537464,1327.75867695024
"Limpopo",2004,1154.61735154106,1563.45628497142,864.139162215184
"Mpumalanga",2004,1579.95726805322,2114.41182029072,1186.6130144316
"North-West",2004,1412.30899842504,1909.6958578655,1058.34302637024
"Northern Cape",2004,1210.70723030237,1671.92356512265,887.811375443905
"Western Cape",2004,869.501654226086,1311.6307071884,526.666866876765
"Eastern Cape",2005,1496.23035724234,1978.29672425889,1157.55215118478
"Free State",2005,1545.44203275942,2076.49907992335,1170.9253501174
"Gauteng",2005,1108.92826880223,1496.98220774432,820.04441579117
"KwaZulu-Natal",2005,1732.72431435126,2248.7341756025,1348.39509729424
"Limpopo",2005,1191.0323630988,1625.52832026367,882.337484616167
"Mpumalanga",2005,1619.76551451723,2198.72488820351,1202.97584284556
"North-West",2005,1432.30267204715,1953.82737190323,1063.41676860669
"Northern Cape",2005,1234.84770481826,1721.33137226567,891.700428382193
"Western Cape",2005,875.901843486699,1337.38643511432,527.411914604618
"Eastern Cape",2006,1490.15683758216,1959.71763821525,1156.82386752295
"Free State",2006,1541.5869112686,2050.55345694342,1182.5349497002
"Gauteng",2006,1109.31222865004,1485.40902861099,826.667111357326
"KwaZulu-Natal",2006,1727.1198396913,2219.37486789088,1349.29871678144
"Limpopo",2006,1203.18564281593,1621.66960336669,897.024662552196
"Mpumalanga",2006,1621.82104294869,2174.69498345619,1211.4242295324
"North-West",2006,1429.95900834706,1920.28517313702,1064.57589743264
"Northern Cape",2006,1238.00119528307,1707.43696566038,911.868358559598
"Western Cape",2006,871.061907223331,1302.97177444868,528.769795350264
